Title,Authors,PDF Link,Year
"Improved Precision and Recall Metric for Assessing Generative Models","Tuomas Kynkäänniemi, Tero Karras, Samuli Laine, Jaakko Lehtinen, Timo Aila","https://papers.nips.cc//paper_files/paper/2019/file/0234c510bc6d908b28c70ff313743079-AuthorFeedback.pdf","2019"
"Cascaded Text Generation with Markov Transformers","Yuntian Deng, Alexander Rush","https://papers.nips.cc//paper_files/paper/2020/file/01a0683665f38d8e5e567b3b15ca98bf-AuthorFeedback.pdf","2020"
"Improving Local Identifiability in Probabilistic Box Embeddings","Shib Dasgupta, Michael Boratko, Dongxu Zhang, Luke Vilnis, Xiang Li, Andrew McCallum","https://papers.nips.cc//paper_files/paper/2020/file/01c9d2c5b3ff5cbba349ec39a570b5e3-AuthorFeedback.pdf","2020"
"A Direct tilde{O}(1/epsilon) Iteration Parallel Algorithm for Optimal Transport","Arun Jambulapati, Aaron Sidford, Kevin Tian","https://papers.nips.cc//paper_files/paper/2019/file/024d2d699e6c1a82c9ba986386f4d824-AuthorFeedback.pdf","2019"
"Permute-and-Flip: A new mechanism for differentially private selection","Ryan McKenna, Daniel R. Sheldon","https://papers.nips.cc//paper_files/paper/2020/file/01e00f2f4bfcbb7505cb641066f2859b-AuthorFeedback.pdf","2020"
"Zero-Shot Semantic Segmentation","Maxime Bucher, Tuan-Hung VU, Matthieu Cord, Patrick Pérez","https://papers.nips.cc//paper_files/paper/2019/file/0266e33d3f546cb5436a10798e657d97-AuthorFeedback.pdf","2019"
"Deep reconstruction of strange attractors from time series","William Gilpin","https://papers.nips.cc//paper_files/paper/2020/file/021bbc7ee20b71134d53e20206bd6feb-AuthorFeedback.pdf","2020"
"Hyperspherical Prototype Networks","Pascal Mettes, Elise van der Pol, Cees Snoek","https://papers.nips.cc//paper_files/paper/2019/file/02a32ad2669e6fe298e607fe7cc0e1a0-AuthorFeedback.pdf","2019"
"Reciprocal Adversarial Learning via Characteristic Functions","Shengxi Li, Zeyang Yu, Min Xiang, Danilo Mandic","https://papers.nips.cc//paper_files/paper/2020/file/021f6dd88a11ca489936ae770e4634ad-AuthorFeedback.pdf","2020"
"Statistical Guarantees of Distributed Nearest Neighbor Classification","Jiexin Duan, Xingye Qiao, Guang Cheng","https://papers.nips.cc//paper_files/paper/2020/file/022e0ee5162c13d9a7bb3bd00fb032ce-AuthorFeedback.pdf","2020"
"Lower Bounds on Adversarial Robustness from Optimal Transport","Arjun Nitin Bhagoji, Daniel Cullina, Prateek Mittal","https://papers.nips.cc//paper_files/paper/2019/file/02bf86214e264535e3412283e817deaa-AuthorFeedback.pdf","2019"
"Structured Recognition for Generative Models with Explaining Away","Changmin Yu, Hugo Soulat, Neil Burgess, Maneesh Sahani","https://papers.nips.cc//paper_files/paper/2022/file/003a96110b7134d678cb675c6aea6c7d-Paper-Conference.pdf","2022"
"Stein Self-Repulsive Dynamics: Benefits From Past Samples","Mao Ye, Tongzheng Ren, Qiang Liu","https://papers.nips.cc//paper_files/paper/2020/file/023d0a5671efd29e80b4deef8262e297-AuthorFeedback.pdf","2020"
"The Statistical Complexity of Early-Stopped Mirror Descent","Tomas Vaskevicius, Varun Kanade, Patrick Rebeschini","https://papers.nips.cc//paper_files/paper/2020/file/024d2d699e6c1a82c9ba986386f4d824-AuthorFeedback.pdf","2020"
"Algorithmic recourse under imperfect causal knowledge: a probabilistic approach","Amir-Hossein Karimi, Julius von Kügelgen, Bernhard Schölkopf, Isabel Valera","https://papers.nips.cc//paper_files/paper/2020/file/02a3c7fb3f489288ae6942498498db20-AuthorFeedback.pdf","2020"
"A Nonconvex Approach for Exact and Efficient Multichannel Sparse Blind Deconvolution","Qing Qu, Xiao Li, Zhihui Zhu","https://papers.nips.cc//paper_files/paper/2019/file/02e656adee09f8394b402d9958389b7d-AuthorFeedback.pdf","2019"
"Quantitative Propagation of Chaos for SGD in Wide Neural Networks","Valentin De Bortoli, Alain Durmus, Xavier Fontaine, Umut Simsekli","https://papers.nips.cc//paper_files/paper/2020/file/02e74f10e0327ad868d138f2b4fdd6f0-AuthorFeedback.pdf","2020"
"A Causal View on Robustness of Neural Networks","Cheng Zhang, Kun Zhang, Yingzhen Li","https://papers.nips.cc//paper_files/paper/2020/file/02ed812220b0705fabb868ddbf17ea20-AuthorFeedback.pdf","2020"
"Minimax Classification with 0-1 Loss and Performance Guarantees","Santiago Mazuelas, Andrea Zanoni, Aritz Pérez","https://papers.nips.cc//paper_files/paper/2020/file/02f657d55eaf1c4840ce8d66fcdaf90c-AuthorFeedback.pdf","2020"
"DTWNet: a Dynamic Time Warping Network","Xingyu Cai, Tingyang Xu, Jinfeng Yi, Junzhou Huang, Sanguthevar Rajasekaran","https://papers.nips.cc//paper_files/paper/2019/file/02f063c236c7eef66324b432b748d15d-AuthorFeedback.pdf","2019"
"Bootstrapping Vision-Language Learning with Decoupled Language Pre-training","Yiren Jian, Chongyang Gao, Soroush Vosoughi","https://papers.nips.cc//paper_files/paper/2023/file/002262941c9edfd472a79298b2ac5e17-Paper-Conference.pdf","2023"
"How to Learn a Useful Critic? Model-based Action-Gradient-Estimator Policy Optimization","Pierluca D'Oro, Wojciech Jaśkowski","https://papers.nips.cc//paper_files/paper/2020/file/03255088ed63354a54e0e5ed957e9008-AuthorFeedback.pdf","2020"
"Finding Discriminative Filters for Specific Degradations in Blind Super-Resolution","Liangbin Xie, Xintao Wang, Chao Dong, Zhongang Qi, Ying Shan","https://papers.nips.cc//paper_files/paper/2021/file/008bd5ad93b754d500338c253d9c1770-Paper.pdf","2021"
"Learning Composable Energy Surrogates for PDE Order Reduction","Alex Beatson, Jordan Ash, Geoffrey Roeder, Tianju Xue, Ryan P. Adams","https://papers.nips.cc//paper_files/paper/2020/file/0332d694daab22e0e0eaf7a5e88433f9-AuthorFeedback.pdf","2020"
"Efficient Contextual Bandits with Continuous Actions","Maryam Majzoubi, Chicheng Zhang, Rajan Chari, Akshay Krishnamurthy, John Langford, Aleksandrs Slivkins","https://papers.nips.cc//paper_files/paper/2020/file/033cc385728c51d97360020ed57776f0-AuthorFeedback.pdf","2020"
"Generalization of Reinforcement Learners with Working and Episodic Memory","Meire Fortunato, Melissa Tan, Ryan Faulkner, Steven Hansen, Adrià Puigdomènech Badia, Gavin Buttimore, Charles Deck, Joel Z. Leibo, Charles Blundell","https://papers.nips.cc//paper_files/paper/2019/file/02ed812220b0705fabb868ddbf17ea20-AuthorFeedback.pdf","2019"
"NAS-Bench-Graph: Benchmarking Graph Neural Architecture Search","Yijian Qin, Ziwei Zhang, Xin Wang, Zeyang Zhang, Wenwu Zhu","https://papers.nips.cc//paper_files/paper/2022/file/004bed4e186fdd7ebb73aad6e97c2332-Paper-Datasets_and_Benchmarks.pdf","2022"
"Learning Mean-Field Games","Xin Guo, Anran Hu, Renyuan Xu, Junzi Zhang","https://papers.nips.cc//paper_files/paper/2019/file/030e65da2b1c944090548d36b244b28d-AuthorFeedback.pdf","2019"
"Coresets for Regressions with Panel Data","Lingxiao Huang, K Sudhir, Nisheeth Vishnoi","https://papers.nips.cc//paper_files/paper/2020/file/03287fcce194dbd958c2ec5b33705912-AuthorFeedback.pdf","2020"
"Achieving Equalized Odds by Resampling Sensitive Attributes","Yaniv Romano, Stephen Bates, Emmanuel Candes","https://papers.nips.cc//paper_files/paper/2020/file/03593ce517feac573fdaafa6dcedef61-AuthorFeedback.pdf","2020"
"Learning Erdos-Renyi Random Graphs via Edge Detecting Queries","Zihan Li, Matthias Fresacher, Jonathan Scarlett","https://papers.nips.cc//paper_files/paper/2019/file/0336dcbab05b9d5ad24f4333c7658a0e-AuthorFeedback.pdf","2019"
"Multi-Robot Collision Avoidance under Uncertainty with Probabilistic Safety Barrier Certificates","Wenhao Luo, Wen Sun, Ashish Kapoor","https://papers.nips.cc//paper_files/paper/2020/file/03793ef7d06ffd63d34ade9d091f1ced-AuthorFeedback.pdf","2020"
"Hard Shape-Constrained Kernel Machines","Pierre-Cyril Aubin-Frankowski, Zoltan Szabo","https://papers.nips.cc//paper_files/paper/2020/file/03fa2f7502f5f6b9169e67d17cbf51bb-AuthorFeedback.pdf","2020"
"Flattening a Hierarchical Clustering through Active Learning","Fabio Vitale, Anand Rajagopalan, Claudio Gentile","https://papers.nips.cc//paper_files/paper/2019/file/03793ef7d06ffd63d34ade9d091f1ced-AuthorFeedback.pdf","2019"
"Cormorant: Covariant Molecular Neural Networks","Brandon Anderson, Truong Son Hy, Risi Kondor","https://papers.nips.cc//paper_files/paper/2019/file/03573b32b2746e6e8ca98b9123f2249b-AuthorFeedback.pdf","2019"
"Random Projections and Sampling Algorithms for Clustering of High-Dimensional Polygonal Curves","Stefan Meintrup, Alexander Munteanu, Dennis Rohde","https://papers.nips.cc//paper_files/paper/2019/file/0394ea68951e3299bcdfa75a097d7c11-AuthorFeedback.pdf","2019"
"Explicit Explore-Exploit Algorithms in Continuous State Spaces","Mikael Henaff","https://papers.nips.cc//paper_files/paper/2019/file/03b264c595403666634ac75d828439bc-AuthorFeedback.pdf","2019"
"A Closer Look at the Training Strategy for Modern Meta-Learning","JIAXIN CHEN, Xiao-Ming Wu, Yanke Li, Qimai LI, Li-Ming Zhan, Fu-lai Chung","https://papers.nips.cc//paper_files/paper/2020/file/0415740eaa4d9decbc8da001d3fd805f-AuthorFeedback.pdf","2020"
"Fast Bayesian Coresets via Subsampling and Quasi-Newton Refinement","Cian Naik, Judith Rousseau, Trevor Campbell","https://papers.nips.cc//paper_files/paper/2022/file/005413e90d003d13886019607b037f52-Paper-Conference.pdf","2022"
"How degenerate is the parametrization of neural networks with the ReLU activation function?","Dennis Maximilian Elbrächter, Julius Berner, Philipp Grohs","https://papers.nips.cc//paper_files/paper/2019/file/04115ec378e476c56d19d827bcf8db56-AuthorFeedback.pdf","2019"
"Generalised Bayesian Filtering via Sequential Monte Carlo","Ayman Boustati, Omer Deniz Akyildiz, Theodoros Damoulas, Adam Johansen","https://papers.nips.cc//paper_files/paper/2020/file/04ecb1fa28506ccb6f72b12c0245ddbc-AuthorFeedback.pdf","2020"
"Hyperbolic Graph Convolutional Neural Networks","Ines Chami, Zhitao Ying, Christopher Ré, Jure Leskovec","https://papers.nips.cc//paper_files/paper/2019/file/0415740eaa4d9decbc8da001d3fd805f-AuthorFeedback.pdf","2019"
"Deterministic Approximation for Submodular Maximization over a Matroid in Nearly Linear Time","Kai Han, zongmai Cao, Shuang Cui, Benwei Wu","https://papers.nips.cc//paper_files/paper/2020/file/05128e44e27c36bdba71221bfccf735d-AuthorFeedback.pdf","2020"
"Flows for simultaneous manifold learning and density estimation","Johann Brehmer, Kyle Cranmer","https://papers.nips.cc//paper_files/paper/2020/file/051928341be67dcba03f0e04104d9047-AuthorFeedback.pdf","2020"
"Spherical Text Embedding","Yu Meng, Jiaxin Huang, Guangyuan Wang, Chao Zhang, Honglei Zhuang, Lance Kaplan, Jiawei Han","https://papers.nips.cc//paper_files/paper/2019/file/043ab21fc5a1607b381ac3896176dac6-AuthorFeedback.pdf","2019"
"Random Tessellation Forests","Shufei Ge, Shijia Wang, Yee Whye Teh, Liangliang Wang, Lloyd Elliott","https://papers.nips.cc//paper_files/paper/2019/file/043c2ec6c6390dd0ac5519190a57c88c-AuthorFeedback.pdf","2019"
"SpArSe: Sparse Architecture Search for CNNs on Resource-Constrained Microcontrollers","Igor Fedorov, Ryan P. Adams, Matthew Mattina, Paul Whatmough","https://papers.nips.cc//paper_files/paper/2019/file/044a23cadb567653eb51d4eb40acaa88-AuthorFeedback.pdf","2019"
"Simultaneous Preference and Metric Learning from Paired Comparisons","Austin Xu, Mark Davenport","https://papers.nips.cc//paper_files/paper/2020/file/0561bc7ecba98e39ca7994f93311ba23-AuthorFeedback.pdf","2020"
"On the Value of Out-of-Distribution Testing: An Example of Goodhart's Law","Damien Teney, Ehsan Abbasnejad, Kushal Kafle, Robik Shrestha, Christopher Kanan, Anton van den Hengel","https://papers.nips.cc//paper_files/paper/2020/file/045117b0e0a11a242b9765e79cbf113f-AuthorFeedback.pdf","2020"
"Capacity Bounded Differential Privacy","Kamalika Chaudhuri, Jacob Imola, Ashwin Machanavajjhala","https://papers.nips.cc//paper_files/paper/2019/file/04df4d434d481c5bb723be1b6df1ee65-AuthorFeedback.pdf","2019"
"Information-Theoretic Generalization Bounds for SGLD via Data-Dependent Estimates","Jeffrey Negrea, Mahdi Haghifam, Gintare Karolina Dziugaite, Ashish Khisti, Daniel M. Roy","https://papers.nips.cc//paper_files/paper/2019/file/05ae14d7ae387b93370d142d82220f1b-AuthorFeedback.pdf","2019"
"Uniform convergence may be unable to explain generalization in deep learning","Vaishnavh Nagarajan, J. Zico Kolter","https://papers.nips.cc//paper_files/paper/2019/file/05e97c207235d63ceb1db43c60db7bbb-AuthorFeedback.pdf","2019"
"First order expansion of convex regularized estimators","Pierre Bellec, Arun Kuchibhotla","https://papers.nips.cc//paper_files/paper/2019/file/0609154fa35b3194026346c9cac2a248-AuthorFeedback.pdf","2019"
